2.69,0,0,0,0,0,2
3.0057,0,0,0,0,0,3
97,80,90,90,100,110,97
13.2,10,10,10,10,10,13
385,320,350,370,400,430,385
18,20,20,20,20,20,18
1720,1440,1560,1670,1790,1900,1720
1200,1010,1090,1170,1250,1330,1200
2.47,0,0,0,0,0,2
4.5759,0,0,0,0,10,4
99,80,90,100,100,110,99
13.4,10,10,10,10,10,13
747,630,680,730,780,830,747
44,40,40,40,50,50,44
1560,1310,1410,1520,1620,1720,1560
2700,2270,2200,2130,2070,2000,2700
2.84,0,0,0,0,0,2
3.0061,0,0,0,0,0,3
117,100,110,110,120,130,117
14.1,10,10,10,10,20,14
751,630,680,730,780,830,751
25,20,20,20,30,30,25
1600,1340,1450,1560,1660,1770,1600
3000,2520,2390,2260,2130,2000,3000
2.17,0,0,0,0,0,2
3.5663,0,0,0,0,0,3
83,70,80,80,90,90,83
12.5,10,10,10,10,10,12
315,260,290,310,330,350,315
5.9,0,10,10,10,10,5
1730,1450,1570,1680,1800,1910,1730
700,590,630,680,730,770,700
2.67,0,0,0,0,0,2
4.3365,0,0,0,0,0,4
99,80,90,100,100,110,99
13.0,10,10,10,10,10,13
189,160,170,180,200,210,189
65,50,60,60,70,70,65
1930,1620,1720,1810,1910,2000,1930
6100,5120,4340,3560,2780,2000,6100
2.28,0,0,0,0,0,2
3.3866,0,0,0,0,0,3
102,90,90,100,110,110,102
12.9,10,10,10,10,10,12
276,230,250,270,290,310,276
18,20,20,20,20,20,18
1820,1530,1650,1760,1880,2000,1820
1800,1510,1630,1750,1870,1990,1800
2.58,0,0,0,0,0,2
3.6467,0,0,0,0,0,3
116,100,110,110,120,130,116
14.0,10,10,10,10,20,14
537,450,490,520,560,590,537
90,80,80,90,90,100,90
1690,1420,1530,1640,1760,1870,1690
1900,1600,1700,1800,1900,2000,1900
2.69,0,0,0,0,0,2
3.4573,0,0,0,0,0,3
129,110,120,130,130,140,129
14.0,10,10,10,10,20,14
328,280,300,320,340,360,328
16,10,10,20,20,20,16
1840,1550,1660,1770,1890,2000,1840
3200,2690,2520,2340,2170,2000,3200
2.50,0,0,0,0,0,2
